"Indicator","PUBLISH STATES","Year","WHO region","Country","Sex","Cause","Display Value","Numeric","Low","High","Comments"
"Ambient air pollution attributable DALYs","Published","2016","Africa","Angola","Both sexes","Ischaemic heart disease","43715 [36633–50551]","43715.32227","36633.45703","50551.14063",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Angola","Female","Stroke","16158 [13340–19264]","16158.02289","13339.74512","19263.86523",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Albania","Both sexes","Cataracts","0 [0–0]","0.00000","0.00000","0.00000",""
"Ambient air pollution attributable DALYs","Published","2016","Eastern Mediterranean","United Arab Emirates","Female","Lower respiratory infections","980 [721–1254]","979.61960","720.89764","1253.95630",""
"Ambient air pollution attributable DALYs","Published","2016","Eastern Mediterranean","United Arab Emirates","Female","Ischaemic heart disease","3466 [2909–4034]","3465.84229","2909.21411","4034.45532",""
"Ambient air pollution attributable DALYs","Published","2016","Americas","Argentina","Both sexes","Stroke","43909 [32424–59747]","43909.20435","32424.39453","59747.17969",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Armenia","Both sexes","Ischaemic heart disease","26654 [21608–31338]","26653.65166","21607.81250","31337.55469",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Armenia","Female","Stroke","2943 [2253–3909]","2942.58277","2253.37647","3908.91040",""
"Ambient air pollution attributable DALYs","Published","2016","Americas","Antigua and Barbuda","Both sexes","Cataracts","0 [0–0]","0.00000","0.00000","0.00000",""
"Ambient air pollution attributable DALYs","Published","2016","Western Pacific","Australia","Both sexes","Trachea, bronchus, lung cancers","7986 [3253–15112]","7985.67839","3253.01538","15111.98340",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Austria","Female","Lower respiratory infections","884 [319–1643]","884.16431","319.17828","1643.29187",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Austria","Female","Ischaemic heart disease","12209 [8011–16788]","12209.38552","8011.42139","16788.27539",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Azerbaijan","Both sexes","Stroke","19691 [14991–24726]","19691.12679","14990.71777","24725.66602",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Belgium","Both sexes","Cataracts","0 [0–0]","0.00000","0.00000","0.00000",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Burkina Faso","Female","Lower respiratory infections","131429 [95496–169090]","131428.63290","95496.39844","169089.60940",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Burkina Faso","Female","Ischaemic heart disease","22198 [18669–25610]","22197.77246","18669.34570","25609.79102",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Burkina Faso","Male","Stroke","11799 [9794–13813]","11799.44730","9794.28320","13812.52246",""
"Ambient air pollution attributable DALYs","Published","2016","South-East Asia","Bangladesh","Both sexes","Stroke","612177 [522831–703475]","612176.86520","522831.43750","703475.25000",""
"Ambient air pollution attributable DALYs","Published","2016","Eastern Mediterranean","Bahrain","Male","Lower respiratory infections","530 [423–641]","530.36008","422.63251","641.29730",""
"Ambient air pollution attributable DALYs","Published","2016","Eastern Mediterranean","Bahrain","Both sexes","Cataracts","0 [0–0]","0.00000","0.00000","0.00000",""
"Ambient air pollution attributable DALYs","Published","2016","Eastern Mediterranean","Bahrain","Male","Trachea, bronchus, lung cancers","357 [243–468]","356.75144","243.15727","467.67322",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Bosnia and Herzegovina","Female","Lower respiratory infections","779 [504–1083]","779.23397","503.59860","1082.50928",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Bosnia and Herzegovina","Female","Ischaemic heart disease","12520 [9645–15365]","12519.88874","9644.53320","15364.82324",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Bosnia and Herzegovina","Male","Stroke","8122 [6397–10191]","8122.10295","6396.99072","10191.06152",""
"Ambient air pollution attributable DALYs","Published","2016","Americas","Bolivia (Plurinational State of)","Male","Lower respiratory infections","24773 [13610–37791]","24772.91785","13610.15820","37790.96094",""
"Ambient air pollution attributable DALYs","Published","2016","Americas","Bolivia (Plurinational State of)","Both sexes","Cataracts","0 [0–0]","0.00000","0.00000","0.00000",""
"Ambient air pollution attributable DALYs","Published","2016","Americas","Barbados","Female","Lower respiratory infections","404 [231–595]","404.21979","231.47778","594.59222",""
"Ambient air pollution attributable DALYs","Published","2016","Americas","Barbados","Female","Ischaemic heart disease","407 [311–499]","407.42234","310.78693","498.79956",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Botswana","Both sexes","Cataracts","0 [0–0]","0.00000","0.00000","0.00000",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Botswana","Male","Trachea, bronchus, lung cancers","158 [87–242]","158.26537","86.91377","242.04050",""
"Ambient air pollution attributable DALYs","Published","2016","Americas","Canada","Female","Lower respiratory infections","2339 [273–6286]","2339.39900","273.44516","6285.61865",""
"Ambient air pollution attributable DALYs","Published","2016","Americas","Canada","Female","Ischaemic heart disease","16763 [10559–23739]","16762.90765","10559.33203","23738.83984",""
"Ambient air pollution attributable DALYs","Published","2016","Europe","Switzerland","Female","Cataracts","0 [0–0]","0.00000","0.00000","0.00000",""
"Ambient air pollution attributable DALYs","Published","2016","Americas","Chile","Both sexes","Ischaemic heart disease","40016 [32906–46965]","40016.22324","32906.19922","46965.23828",""
"Ambient air pollution attributable DALYs","Published","2016","Americas","Chile","Female","Trachea, bronchus, lung cancers","3643 [1976–5634]","3642.69865","1975.56238","5634.35938",""
"Ambient air pollution attributable DALYs","Published","2016","Western Pacific","China","Male","Lower respiratory infections","824943 [638024–1021728]","824942.68040","638024.18750","1021728.12500",""
"Ambient air pollution attributable DALYs","Published","2016","Western Pacific","China","Both sexes","Cataracts","0 [0–0]","0.00000","0.00000","0.00000",""
"Ambient air pollution attributable DALYs","Published","2016","Africa","Côte d'Ivoire","Both sexes","Trachea, bronchus, lung cancers","893 [498–1354]","893.41133","497.60406","1354.00684",""
