"Indicator","PUBLISH STATES","Year","WHO region","Country","Sex","Cause","Display Value","Numeric","Low","High","Comments"
"Ambient air pollution attributable deaths","Published","2016","Eastern Mediterranean","Afghanistan","Female","Lower respiratory infections","2892 [2240–3554]","2891.54102","2240.19922","3553.90991",""
"Ambient air pollution attributable deaths","Published","2016","Africa","Angola","Female","Ischaemic heart disease","808 [646–964]","807.79405","646.22620","963.81439",""
"Ambient air pollution attributable deaths","Published","2016","Africa","Angola","Male","Stroke","456 [370–550]","456.29813","369.67722","549.96429",""
"Ambient air pollution attributable deaths","Published","2016","Europe","Albania","Female","Lower respiratory infections","30 [15–48]","30.43371","15.47770","48.27930",""
"Ambient air pollution attributable deaths","Published","2016","Americas","Argentina","Male","Lower respiratory infections","1812 [675–3337]","1811.71617","675.09369","3337.18701",""
"Ambient air pollution attributable deaths","Published","2016","Americas","Argentina","Male","Ischaemic heart disease","3005 [2257–3696]","3005.09103","2256.98267","3695.62012",""
"Ambient air pollution attributable deaths","Published","2016","Americas","Argentina","Female","Trachea, bronchus, lung cancers","247 [120–412]","247.15057","120.11682","412.48221",""
"Ambient air pollution attributable deaths","Published","2016","Americas","Antigua and Barbuda","Both sexes","Lower respiratory infections","5 [3–9]","5.40047","2.71551","8.57097",""
"Ambient air pollution attributable deaths","Published","2016","Americas","Antigua and Barbuda","Male","Lower respiratory infections","3 [1–5]","2.98031","1.49858","4.72998",""
"Ambient air pollution attributable deaths","Published","2016","Americas","Antigua and Barbuda","Both sexes","Ischaemic heart disease","13 [10–16]","12.99010","9.80238","16.04647",""
"Ambient air pollution attributable deaths","Published","2016","Americas","Antigua and Barbuda","Male","Ischaemic heart disease","7 [6–9]","7.23532","5.60075","8.75590",""
"Ambient air pollution attributable deaths","Published","2016","Western Pacific","Australia","Female","Stroke","410 [133–1188]","409.67902","132.89563","1187.54504",""
"Ambient air pollution attributable deaths","Published","2016","Europe","Austria","Both sexes","Lower respiratory infections","135 [49–251]","135.00050","48.73441","250.90950",""
