"Indicator","PUBLISH STATES","Year","WHO region","Country","Sex","Cause","Display Value","Numeric","Low","High","Comments"
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","Afghanistan","Both sexes","Lower respiratory infections","449 573","449573.48730","","",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","Afghanistan","Both sexes","Chronic obstructive pulmonary disease","30 860","30860.46393","","",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","Afghanistan","Both sexes","Ischaemic heart disease","225 600","225600.33500","","",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","Afghanistan","Both sexes","Trachea, bronchus, lung cancers","7989","7989.04729","","",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","Afghanistan","Both sexes","Stroke","85 358","85358.03174","","",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","Afghanistan","Both sexes","Total","799381 [694285-913941]","799381.00000","694285.00000","913941.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","Afghanistan","Female","Lower respiratory infections","234 309","234308.79590","","",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","Afghanistan","Female","Chronic obstructive pulmonary disease","14 973","14972.80194","","",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","Afghanistan","Female","Ischaemic heart disease","89 864","89864.12891","","",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","Afghanistan","Female","Trachea, bronchus, lung cancers","2207","2206.79651","","",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","Afghanistan","Female","Stroke","45 362","45361.64014","","",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","Afghanistan","Female","Total","386714 [332494-444539]","386714.00000","332494.00000","444539.00000",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","Afghanistan","Male","Lower respiratory infections","215 265","215264.69170","","",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","Afghanistan","Male","Chronic obstructive pulmonary disease","15 888","15887.66248","","",""
"Ambient air pollution attributable YLLs","Published","2016","Eastern Mediterranean","Afghanistan","Male","Ischaemic heart disease","135 736","135736.20460","","",""
